Kennziffer;Raumeinheit;Aggregat;Apotheken
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"27,8"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"43,7"
"09771";"Aichach-Friedberg";"Landkreis";"19,6"
"09772";"Augsburg";"Landkreis";"22,4"
"09773";"Dillingen a.d.Donau";"Landkreis";"21,0"
"09774";"Günzburg";"Landkreis";"22,5"
"09775";"Neu-Ulm";"Landkreis";"21,4"
"09776";"Lindau (Bodensee)";"Landkreis";"27,1"
"09777";"Ostallgäu";"Landkreis";"21,5"
"09778";"Unterallgäu";"Landkreis";"18,9"
"09779";"Donau-Ries";"Landkreis";"25,6"
"09780";"Oberallgäu";"Landkreis";"23,9"
"10041";"Regionalverband Saarbrücken";"Landkreis";"33,6"
"10042";"Merzig-Wadern";"Landkreis";"29,9"
"10043";"Neunkirchen";"Landkreis";"35,3"
"10044";"Saarlouis";"Landkreis";"36,8"
"10045";"Saarpfalz-Kreis";"Landkreis";"37,0"
"10046";"St. Wendel";"Landkreis";"37,6"
"11000";"Berlin, Stadt";"krsfr. Stadt";"23,6"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"22,3"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"30,7"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"24,0"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"22,2"
"12060";"Barnim";"Landkreis";"19,9"
"12061";"Dahme-Spreewald";"Landkreis";"22,1"
"12062";"Elbe-Elster";"Landkreis";"27,1"
"12063";"Havelland";"Landkreis";"19,3"
"12064";"Märkisch-Oderland";"Landkreis";"22,8"
"12065";"Oberhavel";"Landkreis";"22,9"
"12066";"Oberspreewald-Lausitz";"Landkreis";"26,1"
"12067";"Oder-Spree";"Landkreis";"23,5"
"12068";"Ostprignitz-Ruppin";"Landkreis";"23,1"
"12069";"Potsdam-Mittelmark";"Landkreis";"20,2"
"12070";"Prignitz";"Landkreis";"31,1"
"12071";"Spree-Neiße";"Landkreis";"22,5"
"12072";"Teltow-Fläming";"Landkreis";"22,2"
"12073";"Uckermark";"Landkreis";"21,6"
"13003";"Rostock, Stadt";"krsfr. Stadt";"25,4"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"29,2"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"28,4"
"13072";"Landkreis Rostock";"Landkreis";"24,2"
"13073";"Vorpommern-Rügen";"Landkreis";"29,3"
"13074";"Nordwestmecklenburg";"Landkreis";"22,9"
"13075";"Vorpommern-Greifswald";"Landkreis";"26,6"
"13076";"Ludwigslust-Parchim";"Landkreis";"22,6"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"28,8"
"14521";"Erzgebirgskreis";"Landkreis";"29,7"
"14522";"Mittelsachsen";"Landkreis";"26,6"
"14523";"Vogtlandkreis";"Landkreis";"27,0"
"14524";"Zwickau";"Landkreis";"32,8"
"14612";"Dresden, Stadt";"krsfr. Stadt";"21,8"
"14625";"Bautzen";"Landkreis";"20,5"
"14626";"Görlitz";"Landkreis";"24,6"
"14627";"Meißen";"Landkreis";"21,8"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"20,0"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"24,6"
"14729";"Leipzig";"Landkreis";"25,2"
"14730";"Nordsachsen";"Landkreis";"27,8"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"32,9"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"32,2"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"25,2"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"27,2"
"15082";"Anhalt-Bitterfeld";"Landkreis";"29,8"
"15083";"Börde";"Landkreis";"24,3"
"15084";"Burgenlandkreis";"Landkreis";"30,2"
"15085";"Harz";"Landkreis";"27,7"
"15086";"Jerichower Land";"Landkreis";"21,0"
"15087";"Mansfeld-Südharz";"Landkreis";"32,6"
"15088";"Saalekreis";"Landkreis";"24,8"
"15089";"Salzlandkreis";"Landkreis";"29,6"
"15090";"Stendal";"Landkreis";"24,7"
"15091";"Wittenberg";"Landkreis";"26,8"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"24,9"
"16052";"Gera, Stadt";"krsfr. Stadt";"32,7"
"16053";"Jena, Stadt";"krsfr. Stadt";"28,8"
"16054";"Suhl, Stadt";"krsfr. Stadt";"31,3"
"16055";"Weimar, Stadt";"krsfr. Stadt";"24,8"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"39,8"
"16061";"Eichsfeld";"Landkreis";"22,9"
"16062";"Nordhausen";"Landkreis";"26,0"
"16063";"Wartburgkreis";"Landkreis";"22,6"
