Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der männlichen Bevölkerung;Durchschnittsalter der weiblichen Bevölkerung
"04011";"Bremen, Stadt";"krsfr. Stadt";"41,7";"44,7"
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"41,8";"45,0"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"41,4";"43,8"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"41,6";"44,6"
"05113";"Essen, Stadt";"krsfr. Stadt";"42,2";"45,2"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"42,7";"45,7"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"42,3";"44,8"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"43,5";"47,0"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"43,0";"45,8"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"43,1";"45,8"
"05122";"Solingen, Stadt";"krsfr. Stadt";"42,7";"45,4"
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"41,7";"44,6"
"05154";"Kleve";"Landkreis";"42,5";"44,9"
"05158";"Mettmann";"Landkreis";"44,0";"46,7"
"05162";"Rhein-Kreis Neuss";"Landkreis";"43,1";"45,7"
"05166";"Viersen";"Landkreis";"43,7";"46,1"
"05170";"Wesel";"Landkreis";"44,1";"46,8"
"05314";"Bonn, Stadt";"krsfr. Stadt";"39,8";"42,4"
"05315";"Köln, Stadt";"krsfr. Stadt";"40,5";"42,2"
"05316";"Leverkusen, Stadt";"krsfr. Stadt";"42,6";"45,5"
"05334";"Städteregion Aachen";"Landkreis";"41,1";"44,5"
"05358";"Düren";"Landkreis";"42,7";"45,3"
"05362";"Rhein-Erft-Kreis";"Landkreis";"42,7";"45,2"
"05366";"Euskirchen";"Landkreis";"43,4";"45,6"
"05370";"Heinsberg";"Landkreis";"42,8";"45,2"
"05374";"Oberbergischer Kreis";"Landkreis";"42,6";"45,2"
"05378";"Rheinisch-Bergischer Kreis";"Landkreis";"43,9";"46,5"
"05382";"Rhein-Sieg-Kreis";"Landkreis";"42,6";"45,1"
"05512";"Bottrop, Stadt";"krsfr. Stadt";"43,3";"46,6"
"05513";"Gelsenkirchen, Stadt";"krsfr. Stadt";"41,6";"44,8"
"05515";"Münster, Stadt";"krsfr. Stadt";"39,6";"41,6"
"05554";"Borken";"Landkreis";"41,3";"43,5"
"05558";"Coesfeld";"Landkreis";"42,5";"45,2"
"05562";"Recklinghausen";"Landkreis";"43,5";"46,5"
"05566";"Steinfurt";"Landkreis";"41,6";"44,3"
"05570";"Warendorf";"Landkreis";"42,3";"45,1"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"41,1";"43,6"
"05754";"Gütersloh";"Landkreis";"41,5";"44,1"
"05758";"Herford";"Landkreis";"42,9";"45,9"
"05762";"Höxter";"Landkreis";"43,4";"46,2"
"05766";"Lippe";"Landkreis";"42,6";"45,6"
"05770";"Minden-Lübbecke";"Landkreis";"42,6";"45,6"
"05774";"Paderborn";"Landkreis";"40,4";"42,9"
"05911";"Bochum, Stadt";"krsfr. Stadt";"42,5";"45,8"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"41,7";"44,5"
