Kennziffer;Raumeinheit;Aggregat;Abhängigenquote Junge;Abhängigenquote Alte
"09472";"Bayreuth";"Landkreis";"19,9";"34,0"
"09473";"Coburg";"Landkreis";"19,5";"35,5"
"09474";"Forchheim";"Landkreis";"20,7";"30,2"
"09475";"Hof";"Landkreis";"18,5";"40,7"
"09476";"Kronach";"Landkreis";"17,4";"36,8"
"09477";"Kulmbach";"Landkreis";"18,0";"36,9"
"09478";"Lichtenfels";"Landkreis";"19,2";"34,0"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"18,8";"42,2"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"20,6";"32,7"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"19,2";"25,9"
"09563";"Fürth, Stadt";"krsfr. Stadt";"19,8";"26,8"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"19,9";"30,3"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"21,6";"33,9"
"09571";"Ansbach";"Landkreis";"21,0";"29,8"
"09572";"Erlangen-Höchstadt";"Landkreis";"22,2";"31,0"
"09573";"Fürth";"Landkreis";"21,1";"35,7"
"09574";"Nürnberger Land";"Landkreis";"20,7";"34,4"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"20,5";"31,2"
"09576";"Roth";"Landkreis";"20,5";"31,3"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"20,8";"33,3"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"20,0";"31,4"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"21,1";"37,9"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"15,1";"28,8"
"09671";"Aschaffenburg";"Landkreis";"20,1";"32,2"
"09672";"Bad Kissingen";"Landkreis";"19,6";"38,0"
"09673";"Rhön-Grabfeld";"Landkreis";"20,5";"33,4"
"09674";"Haßberge";"Landkreis";"20,1";"30,8"
"09675";"Kitzingen";"Landkreis";"20,1";"30,8"
"09676";"Miltenberg";"Landkreis";"20,3";"32,0"
"09677";"Main-Spessart";"Landkreis";"19,2";"34,6"
"09678";"Schweinfurt";"Landkreis";"20,2";"32,7"
"09679";"Würzburg";"Landkreis";"20,8";"32,0"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"18,9";"28,9"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"21,1";"36,1"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"19,7";"34,2"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"21,1";"33,4"
"09771";"Aichach-Friedberg";"Landkreis";"22,3";"29,9"
"09772";"Augsburg";"Landkreis";"21,9";"31,1"
"09773";"Dillingen a.d.Donau";"Landkreis";"20,9";"30,0"
"09774";"Günzburg";"Landkreis";"20,8";"28,8"
"09775";"Neu-Ulm";"Landkreis";"21,2";"30,6"
"09776";"Lindau (Bodensee)";"Landkreis";"20,7";"35,1"
"09777";"Ostallgäu";"Landkreis";"22,1";"32,4"
"09778";"Unterallgäu";"Landkreis";"21,4";"32,2"
"09779";"Donau-Ries";"Landkreis";"21,1";"29,6"
"09780";"Oberallgäu";"Landkreis";"20,6";"35,1"
"10041";"Regionalverband Saarbrücken";"Landkreis";"18,7";"34,9"
"10042";"Merzig-Wadern";"Landkreis";"18,9";"34,0"
"10043";"Neunkirchen";"Landkreis";"18,3";"37,6"
"10044";"Saarlouis";"Landkreis";"18,8";"36,7"
"10045";"Saarpfalz-Kreis";"Landkreis";"18,4";"38,7"
"10046";"St. Wendel";"Landkreis";"17,6";"37,2"
"11000";"Berlin, Stadt";"krsfr. Stadt";"20,8";"28,7"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"19,4";"44,9"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"19,2";"39,2"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"19,1";"40,2"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"23,0";"29,9"
"12060";"Barnim";"Landkreis";"21,3";"36,8"
"12061";"Dahme-Spreewald";"Landkreis";"20,9";"37,8"
"12062";"Elbe-Elster";"Landkreis";"18,9";"44,8"
"12063";"Havelland";"Landkreis";"21,4";"34,5"
"12064";"Märkisch-Oderland";"Landkreis";"20,6";"37,0"
"12065";"Oberhavel";"Landkreis";"21,4";"35,2"
"12066";"Oberspreewald-Lausitz";"Landkreis";"19,2";"47,0"
"12067";"Oder-Spree";"Landkreis";"20,2";"41,8"
"12068";"Ostprignitz-Ruppin";"Landkreis";"19,4";"39,2"
"12069";"Potsdam-Mittelmark";"Landkreis";"22,4";"34,4"
"12070";"Prignitz";"Landkreis";"18,5";"44,8"
"12071";"Spree-Neiße";"Landkreis";"18,8";"44,0"
"12072";"Teltow-Fläming";"Landkreis";"20,9";"34,7"
"12073";"Uckermark";"Landkreis";"19,4";"44,2"
"13003";"Rostock, Stadt";"krsfr. Stadt";"18,6";"36,5"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"21,3";"40,6"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"19,9";"40,0"
"13072";"Landkreis Rostock";"Landkreis";"21,5";"36,7"
"13073";"Vorpommern-Rügen";"Landkreis";"19,6";"40,8"
"13074";"Nordwestmecklenburg";"Landkreis";"20,5";"35,8"
"13075";"Vorpommern-Greifswald";"Landkreis";"19,4";"38,8"
"13076";"Ludwigslust-Parchim";"Landkreis";"19,9";"36,1"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"21,0";"46,1"
"14521";"Erzgebirgskreis";"Landkreis";"21,6";"49,2"
"14522";"Mittelsachsen";"Landkreis";"21,0";"46,1"
"14523";"Vogtlandkreis";"Landkreis";"20,1";"50,2"
