Kennziffer;Raumeinheit;Aggregat;Beschäftigte am Wohnort mit akademischem Abschluss
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"20,4"
"09463";"Coburg, Stadt";"krsfr. Stadt";"18,3"
"09464";"Hof, Stadt";"krsfr. Stadt";"12,2"
"09471";"Bamberg";"Landkreis";"8,9"
"09472";"Bayreuth";"Landkreis";"7,9"
"09473";"Coburg";"Landkreis";"8,3"
"09474";"Forchheim";"Landkreis";"13,6"
"09475";"Hof";"Landkreis";"7,9"
"09476";"Kronach";"Landkreis";"7,0"
"09477";"Kulmbach";"Landkreis";"8,3"
"09478";"Lichtenfels";"Landkreis";"7,1"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"7,5"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"12,2"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"34,2"
"09563";"Fürth, Stadt";"krsfr. Stadt";"17,5"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"20,2"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"13,9"
"09571";"Ansbach";"Landkreis";"8,0"
"09572";"Erlangen-Höchstadt";"Landkreis";"19,5"
"09573";"Fürth";"Landkreis";"13,8"
"09574";"Nürnberger Land";"Landkreis";"13,8"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"8,1"
"09576";"Roth";"Landkreis";"10,3"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"7,9"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"17,1"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"12,0"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"27,9"
"09671";"Aschaffenburg";"Landkreis";"11,9"
"09672";"Bad Kissingen";"Landkreis";"8,3"
"09673";"Rhön-Grabfeld";"Landkreis";"8,9"
"09674";"Haßberge";"Landkreis";"6,9"
"09675";"Kitzingen";"Landkreis";"9,1"
"09676";"Miltenberg";"Landkreis";"8,6"
"09677";"Main-Spessart";"Landkreis";"9,0"
"09678";"Schweinfurt";"Landkreis";"9,1"
"09679";"Würzburg";"Landkreis";"13,4"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"19,7"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"10,1"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"13,6"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"10,2"
"09771";"Aichach-Friedberg";"Landkreis";"12,3"
"09772";"Augsburg";"Landkreis";"12,0"
"09773";"Dillingen a.d.Donau";"Landkreis";"7,2"
"09774";"Günzburg";"Landkreis";"8,4"
"09775";"Neu-Ulm";"Landkreis";"13,1"
"09776";"Lindau (Bodensee)";"Landkreis";"14,2"
"09777";"Ostallgäu";"Landkreis";"9,8"
"09778";"Unterallgäu";"Landkreis";"8,6"
"09779";"Donau-Ries";"Landkreis";"8,7"
"09780";"Oberallgäu";"Landkreis";"10,9"
"10041";"Regionalverband Saarbrücken";"Landkreis";"16,1"
"10042";"Merzig-Wadern";"Landkreis";"8,9"
"10043";"Neunkirchen";"Landkreis";"9,3"
"10044";"Saarlouis";"Landkreis";"9,8"
"10045";"Saarpfalz-Kreis";"Landkreis";"14,0"
"10046";"St. Wendel";"Landkreis";"10,4"
"11000";"Berlin, Stadt";"krsfr. Stadt";"26,9"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"11,5"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"18,3"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"13,9"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"27,3"
"12060";"Barnim";"Landkreis";"12,6"
"12061";"Dahme-Spreewald";"Landkreis";"13,3"
"12062";"Elbe-Elster";"Landkreis";"8,9"
"12063";"Havelland";"Landkreis";"11,7"
"12064";"Märkisch-Oderland";"Landkreis";"11,5"
"12065";"Oberhavel";"Landkreis";"12,4"
"12066";"Oberspreewald-Lausitz";"Landkreis";"10,6"
"12067";"Oder-Spree";"Landkreis";"11,9"
"12068";"Ostprignitz-Ruppin";"Landkreis";"8,8"
"12069";"Potsdam-Mittelmark";"Landkreis";"16,9"
"12070";"Prignitz";"Landkreis";"7,2"
"12071";"Spree-Neiße";"Landkreis";"10,4"
"12072";"Teltow-Fläming";"Landkreis";"10,3"
"12073";"Uckermark";"Landkreis";"9,0"
"13003";"Rostock, Stadt";"krsfr. Stadt";"20,4"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"16,4"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"11,0"
"13072";"Landkreis Rostock";"Landkreis";"12,2"
"13073";"Vorpommern-Rügen";"Landkreis";"9,8"
