Kennziffer;Raumeinheit;Aggregat;Kreistyp
"09561";"Ansbach, Stadt";"krsfr. Stadt";"4"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"1"
"09563";"Fürth, Stadt";"krsfr. Stadt";"1"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"1"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"3"
"09571";"Ansbach";"Landkreis";"4"
"09572";"Erlangen-Höchstadt";"Landkreis";"2"
"09573";"Fürth";"Landkreis";"2"
"09574";"Nürnberger Land";"Landkreis";"2"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"4"
"09576";"Roth";"Landkreis";"3"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"4"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"2"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"3"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"1"
"09671";"Aschaffenburg";"Landkreis";"2"
"09672";"Bad Kissingen";"Landkreis";"4"
"09673";"Rhön-Grabfeld";"Landkreis";"4"
"09674";"Haßberge";"Landkreis";"4"
"09675";"Kitzingen";"Landkreis";"3"
"09676";"Miltenberg";"Landkreis";"2"
"09677";"Main-Spessart";"Landkreis";"4"
"09678";"Schweinfurt";"Landkreis";"3"
"09679";"Würzburg";"Landkreis";"2"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"1"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"4"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"4"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"3"
"09771";"Aichach-Friedberg";"Landkreis";"3"
"09772";"Augsburg";"Landkreis";"2"
"09773";"Dillingen a.d.Donau";"Landkreis";"3"
"09774";"Günzburg";"Landkreis";"3"
"09775";"Neu-Ulm";"Landkreis";"2"
"09776";"Lindau (Bodensee)";"Landkreis";"2"
"09777";"Ostallgäu";"Landkreis";"4"
"09778";"Unterallgäu";"Landkreis";"3"
"09779";"Donau-Ries";"Landkreis";"4"
"09780";"Oberallgäu";"Landkreis";"4"
"10041";"Regionalverband Saarbrücken";"Landkreis";"2"
"10042";"Merzig-Wadern";"Landkreis";"2"
"10043";"Neunkirchen";"Landkreis";"2"
"10044";"Saarlouis";"Landkreis";"2"
"10045";"Saarpfalz-Kreis";"Landkreis";"2"
"10046";"St. Wendel";"Landkreis";"2"
"11000";"Berlin, Stadt";"krsfr. Stadt";"1"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"3"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"3"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"4"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"1"
"12060";"Barnim";"Landkreis";"3"
"12061";"Dahme-Spreewald";"Landkreis";"4"
"12062";"Elbe-Elster";"Landkreis";"4"
"12063";"Havelland";"Landkreis";"4"
"12064";"Märkisch-Oderland";"Landkreis";"4"
"12065";"Oberhavel";"Landkreis";"4"
"12066";"Oberspreewald-Lausitz";"Landkreis";"4"
"12067";"Oder-Spree";"Landkreis";"4"
"12068";"Ostprignitz-Ruppin";"Landkreis";"4"
"12069";"Potsdam-Mittelmark";"Landkreis";"3"
"12070";"Prignitz";"Landkreis";"4"
"12071";"Spree-Neiße";"Landkreis";"3"
"12072";"Teltow-Fläming";"Landkreis";"4"
"12073";"Uckermark";"Landkreis";"4"
"13003";"Rostock, Stadt";"krsfr. Stadt";"1"
