Kennziffer;Raumeinheit;Aggregat;Geschlechterproportion insgesamt
"16052";"Gera, Stadt";"krsfr. Stadt";"1,07"
"16053";"Jena, Stadt";"krsfr. Stadt";"1,00"
"16054";"Suhl, Stadt";"krsfr. Stadt";"1,05"
"16055";"Weimar, Stadt";"krsfr. Stadt";"1,06"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"1,03"
"16061";"Eichsfeld";"Landkreis";"0,99"
"16062";"Nordhausen";"Landkreis";"1,02"
"16063";"Wartburgkreis";"Landkreis";"1,00"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"1,01"
"16065";"Kyffhäuserkreis";"Landkreis";"1,01"
"16066";"Schmalkalden-Meiningen";"Landkreis";"1,00"
"16067";"Gotha";"Landkreis";"1,01"
"16068";"Sömmerda";"Landkreis";"1,00"
"16069";"Hildburghausen";"Landkreis";"1,00"
"16070";"Ilm-Kreis";"Landkreis";"0,99"
"16071";"Weimarer Land";"Landkreis";"1,01"
"16072";"Sonneberg";"Landkreis";"1,03"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"1,03"
"16074";"Saale-Holzland-Kreis";"Landkreis";"1,01"
"16075";"Saale-Orla-Kreis";"Landkreis";"1,02"
"16076";"Greiz";"Landkreis";"1,03"
"16077";"Altenburger Land";"Landkreis";"1,04"
