Kennziffer;Raumeinheit;Aggregat;Krankenhausbetten
"09677";"Main-Spessart";"Landkreis";"5,24"
"09678";"Schweinfurt";"Landkreis";"5,21"
"09679";"Würzburg";"Landkreis";"0,87"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"10,10"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"14,47"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"8,89"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"12,57"
"09771";"Aichach-Friedberg";"Landkreis";"2,13"
"09772";"Augsburg";"Landkreis";"1,20"
"09773";"Dillingen a.d.Donau";"Landkreis";"3,35"
"09774";"Günzburg";"Landkreis";"8,47"
"09775";"Neu-Ulm";"Landkreis";"2,40"
"09776";"Lindau (Bodensee)";"Landkreis";"7,49"
"09777";"Ostallgäu";"Landkreis";"3,70"
"09778";"Unterallgäu";"Landkreis";"3,04"
"09779";"Donau-Ries";"Landkreis";"4,00"
"09780";"Oberallgäu";"Landkreis";"2,89"
"10041";"Regionalverband Saarbrücken";"Landkreis";"7,87"
"10042";"Merzig-Wadern";"Landkreis";"4,63"
"10043";"Neunkirchen";"Landkreis";"5,22"
"10044";"Saarlouis";"Landkreis";"5,09"
"10045";"Saarpfalz-Kreis";"Landkreis";"10,18"
"10046";"St. Wendel";"Landkreis";"2,80"
"11000";"Berlin, Stadt";"krsfr. Stadt";"5,63"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"12,57"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"11,62"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"16,20"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"9,15"
"12060";"Barnim";"Landkreis";"6,52"
"12061";"Dahme-Spreewald";"Landkreis";"6,04"
"12062";"Elbe-Elster";"Landkreis";"4,45"
"12063";"Havelland";"Landkreis";"3,02"
"12064";"Märkisch-Oderland";"Landkreis";"3,47"
"12065";"Oberhavel";"Landkreis";"5,24"
"12066";"Oberspreewald-Lausitz";"Landkreis";"4,58"
"12067";"Oder-Spree";"Landkreis";"7,59"
"12068";"Ostprignitz-Ruppin";"Landkreis";"11,52"
"12069";"Potsdam-Mittelmark";"Landkreis";"3,39"
"12070";"Prignitz";"Landkreis";"4,99"
"12071";"Spree-Neiße";"Landkreis";"4,48"
"12072";"Teltow-Fläming";"Landkreis";"2,97"
"12073";"Uckermark";"Landkreis";"5,76"
"13003";"Rostock, Stadt";"krsfr. Stadt";"7,30"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"15,17"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"6,27"
"13072";"Landkreis Rostock";"Landkreis";"3,66"
"13073";"Vorpommern-Rügen";"Landkreis";"5,05"
"13074";"Nordwestmecklenburg";"Landkreis";"3,78"
"13075";"Vorpommern-Greifswald";"Landkreis";"9,34"
"13076";"Ludwigslust-Parchim";"Landkreis";"4,49"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"9,43"
"14521";"Erzgebirgskreis";"Landkreis";"6,01"
"14522";"Mittelsachsen";"Landkreis";"4,33"
"14523";"Vogtlandkreis";"Landkreis";"7,44"
"14524";"Zwickau";"Landkreis";"6,23"
"14612";"Dresden, Stadt";"krsfr. Stadt";"6,98"
"14625";"Bautzen";"Landkreis";"5,65"
"14626";"Görlitz";"Landkreis";"7,04"
"14627";"Meißen";"Landkreis";"4,94"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"5,23"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"7,05"
"14729";"Leipzig";"Landkreis";"4,40"
"14730";"Nordsachsen";"Landkreis";"7,22"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"11,42"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"12,43"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"9,85"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"5,04"
"15082";"Anhalt-Bitterfeld";"Landkreis";"5,33"
"15083";"Börde";"Landkreis";"3,57"
"15084";"Burgenlandkreis";"Landkreis";"5,99"
"15085";"Harz";"Landkreis";"7,19"
"15086";"Jerichower Land";"Landkreis";"8,30"
"15087";"Mansfeld-Südharz";"Landkreis";"5,37"
"15088";"Saalekreis";"Landkreis";"3,41"
"15089";"Salzlandkreis";"Landkreis";"6,71"
"15090";"Stendal";"Landkreis";"8,86"
"15091";"Wittenberg";"Landkreis";"4,64"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"7,92"
"16052";"Gera, Stadt";"krsfr. Stadt";"10,21"
"16053";"Jena, Stadt";"krsfr. Stadt";"13,07"
"16054";"Suhl, Stadt";"krsfr. Stadt";"15,75"
"16055";"Weimar, Stadt";"krsfr. Stadt";"8,70"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"9,30"
"16061";"Eichsfeld";"Landkreis";"4,13"
"16062";"Nordhausen";"Landkreis";"11,54"
"16063";"Wartburgkreis";"Landkreis";"4,22"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"12,27"
"16065";"Kyffhäuserkreis";"Landkreis";"5,99"
"16066";"Schmalkalden-Meiningen";"Landkreis";"6,52"
"16067";"Gotha";"Landkreis";"3,75"
"16068";"Sömmerda";"Landkreis";
"16069";"Hildburghausen";"Landkreis";"7,96"
"16070";"Ilm-Kreis";"Landkreis";"5,14"
"16071";"Weimarer Land";"Landkreis";"12,97"
"16072";"Sonneberg";"Landkreis";"6,74"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"9,18"
"16074";"Saale-Holzland-Kreis";"Landkreis";"7,73"
"16075";"Saale-Orla-Kreis";"Landkreis";"1,46"
"16076";"Greiz";"Landkreis";"4,08"
"16077";"Altenburger Land";"Landkreis";"6,56"
